split,seed,episode,difficulty,step,gain,score_std,diversity,stagnation,hazard,cumulative_hazard,oracle_value,oracle_action
calibration,100,1,RUGGED,4,0.006976744186046657,0.07872471560297727,0.3506567028985507,0,0.12131776308993698,0.6243487812727297,0.20488735465116265,CONTINUE
calibration,100,1,RUGGED,8,0.06453488372093008,0.1251663550362353,0.33944746376811596,0,0.09010762710259608,1.287993294932586,0.07882449127906982,CONTINUE
calibration,100,1,RUGGED,16,0.0,0.162964113678985,0.20357789855072464,2,0.1979534359596436,3.1055170113362625,0.02291969476744181,CONTINUE
calibration,100,1,RUGGED,32,0.0,0.16453974100464372,0.21229619565217392,10,0.6434239082427778,9.409759937424266,-0.015625,STOP
calibration,100,2,EASY,4,0.020679012345679038,0.08060102007460636,0.3357110507246377,0,0.11549230218914128,0.642182864545708,0.22013888888888888,CONTINUE
calibration,100,2,EASY,8,0.0126543209876544,0.11598070688520294,0.229393115942029,0,0.12654688634942773,1.3478628020676042,0.1288194444444444,CONTINUE
calibration,100,2,EASY,16,0.0,0.18141203359105346,0.20697463768115942,1,0.15780266189879624,3.1508882722394462,0.02956211419753082,CONTINUE
calibration,100,2,EASY,32,0.0,0.14477280706830978,0.23143115942028986,14,0.8312961743658032,11.875162227103736,-0.008680555555555525,STOP
calibration,100,2,MEDIUM,4,0.02018072289156636,0.06816741818098485,0.36186594202898553,0,0.11460215697067593,0.6419947910813962,0.21411897590361428,CONTINUE
calibration,100,2,MEDIUM,8,0.09066265060240952,0.11442426011930307,0.2427536231884058,0,0.08839623990596951,1.3329339732541208,0.05748305722891564,CONTINUE
calibration,100,2,MEDIUM,16,0.07981927710843373,0.16166219149399957,0.19542572463768115,0,0.09207847550922782,3.192120351689578,0.005817018072289071,CONTINUE
calibration,100,2,MEDIUM,32,0.0,0.12743482300283662,0.20923913043478262,2,0.20388932093735712,11.355427365776023,0.01916415662650603,CONTINUE
calibration,100,2,RUGGED,4,0.0,0.06547854880383974,0.39492753623188404,1,0.15142066003736554,0.6982771063443154,0.23388444767441857,CONTINUE
calibration,100,2,RUGGED,8,0.0,0.10909604222491986,0.23312952898550723,2,0.20358370598201922,1.5345012744755828,0.12264716569767453,CONTINUE
calibration,100,2,RUGGED,16,0.0,0.13729875130145353,0.21003170289855072,5,0.34869277967344997,3.8739702092407233,0.06732376453488378,CONTINUE
calibration,100,2,RUGGED,32,0.08401162790697658,0.14658105750278477,0.19202898550724637,0,0.09212298930999355,7.837395260150235,-0.015625,STOP
calibration,100,3,EASY,4,0.055864197530864135,0.08225263603414913,0.23777173913043478,0,0.10757099750113537,0.6173565647852888,0.2131558641975309,CONTINUE
